Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,MPN,MFN,PurchasingLink
17,Single-Ended 8-Channel/ Differential 4-Channel Analog Multiplexer with SMBus Interface,LTC1380IGN,U5 U6 U7,LTC1380IGN,SSOP-16_3.9x4.9mm_P0.635mm,3,https://www.analog.com/media/en/technical-documentation/data-sheets/138093f.pdf,LTC1380IGN#PBF-ND,DK,https://www.digikey.com/product-detail/en/linear-technology-analog-devices/LTC1380IGN-TRPBF/LTC1380IGN-TRPBFCT-ND/9554873
18,LTC6811-1,LTC6811-1,U1 U2,LTC6811-1,TSSOP-48_LTC6811-1,2,https://www.analog.com/media/en/technical-documentation/data-sheets/68111fb.pdf,LTC6811IG-1-PBF-ND,DK,https://www.digikey.com/product-detail/en/linear-technology-analog-devices/LTC6811IG-1-3ZZTRPBF/LTC6811IG-1-3ZZTRPBFCT-ND/9841747
19,"Single op-amp, general purpose, -40-+85 C, SC-70-5",MCP6001T-I-LT,U4 U8,MCP6001T-I-LT,SOT-353_SC-70-5,2,http://ww1.microchip.com/downloads/en/DeviceDoc/21733j.pdf,MCP6001T-I/LTCT-ND,DK,https://www.digikey.com/product-detail/en/microchip-technology/MCP6001T-I-LT/MCP6001T-I-LTCT-ND/669499
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Component Groups:,19,,,,,,,,,
Component Count:,131,,,,,,,,,
Fitted Components:,131,,,,,,,,,
Number of PCBs:,1,,,,,,,,,
Total components:,131,,,,,,,,,
Schematic Version:,Rev 0,,,,,,,,,
Schematic Date:,2019-09-17,,,,,,,,,
PCB Variant:,default,,,,,,,,,
BoM Date:,Mon 11 Nov 2019 08:39:12 PM EST,,,,,,,,,
Schematic Source:,/home/vscheyer/Desktop/Formula/MKV-Boards/Boards/BMS_Peripheral/BMS_peripheral.sch,,,,,,,,,
KiCad Version:,Eeschema 5.0.2-bee76a0~70~ubuntu16.04.1,,,,,,,,,
