Reference, Quantity, Value, Footprint, Datasheet, MFN, MPN, Package, PurchasingLink, Digi-key Part Number, Link, Purchasing Link
C10 C7 C11 ,3,"C_1uF","footprints:C_0805_OEM","http://www.samsungsem.com/kr/support/product-search/mlcc/__icsFiles/afieldfile/2018/06/20/CL21A105KAFNNNE.pdf","DK","1276-2887-1-ND","","https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21A105KAFNNNE/1276-2887-1-ND/3890973","","",""
C102 ,1,"C_2.2uF","footprints:C_0603_1608Metric","http://www.yageo.com/documents/recent/UPY-GPHC_X5R_4V-to-50V_25.pdf","DK","311-1451-1-ND","","https://www.digikey.com/product-detail/en/yageo/CC0603KRX5R6BB225/311-1451-1-ND/2833757","","",""
C2 ,1,"C_100pF","footprints:C_0805_OEM","https://katalog.we-online.de/pbs/datasheet/885012007057.pdf","DK","732-7852-1-ND","Value","https://www.digikey.com/product-detail/en/wurth-electronics-inc/885012007057/732-7852-1-ND/5454479","","",""
C4 C3 ,2,"C_30pF","footprints:C_0805_OEM","https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL_Series_MLCC_ds.pdf","DK","1276-1130-1-ND","Value","https://www.digikey.com/product-detail/en/samsung-electro-mechanics-america-inc/CL21C300JBANNNC/1276-1130-1-ND/3889216","","",""
C5 ,1,"C_10uF","footprints:C_0805_OEM","http://www.samsungsem.com/kr/support/product-search/mlcc/__icsFiles/afieldfile/2018/06/20/CL21A106KPFNNNE.pdf","DK","1276-1052-1-ND","","https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21A106KPFNNNE/1276-1052-1-ND/3889138","","",""
C9 C8 C6 C1 C101 C103 C13 C12 C14 C15 C17 C16 ,12,"C_0.1uF","footprints:C_0805_OEM","http://datasheets.avx.com/X7RDielectric.pdf","DK","478-3352-1-ND","Value","https://www.digikey.com/products/en?keywords=478-3352-1-ND","","",""
COUT101 ,1,"C_22uF","footprints:C_1206_OEM","https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf","DK","445-11693-1-ND","","https://www.digikey.com/product-detail/en/tdk-corporation/C3216JB1C226M160AB/445-11693-1-ND/3953359","","",""
COUT102 ,1,"C_33uF","footprints:Fuse_1812","","DK","445-3924-1-ND","","https://www.digikey.com/product-detail/en/tdk-corporation/C4532X7R1C336M250KC/445-3924-1-ND/1923431","","",""
COUT103 ,1,"C_47uF","footprints:C_0805_OEM","http://www.samsungsem.com/kr/support/product-search/mlcc/__icsFiles/afieldfile/2018/06/22/CL21A476MQYNNNG.pdf","DK","1276-6467-1-ND","","https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21A476MQYNNNG/1276-6467-1-ND/5958095","","",""
D1 D4 D5 D12 D13 D103 D102 D2 ,8,"LED_0805","footprints:LED_0805_OEM","http://www.osram-os.com/Graphics/XPic9/00078860_0.pdf","DK","475-1410-1-ND","","https://www.digikey.com/products/en?keywords=475-1410-1-ND","","",""
D101 ,1,"D_Zener_18V","footprints:DO-214AA","http://www.mccsemi.com/up_pdf/SMBJ5338B-SMBJ5388B(SMB).pdf","DK","SMBJ5355B-TPMSCT-ND","","https://www.digikey.com/products/en?keywords=SMBJ5355B-TPMSCT-ND","","",""
F101 ,1,"F_500mA_16V","footprints:Fuse_1210","https://belfuse.com/resources/CircuitProtection/datasheets/0ZCH%20Nov2016.pdf","DK","507-1786-1-ND","","https://www.digikey.com/product-detail/en/bel-fuse-inc/0ZCH0050FF2G/507-1786-1-ND/4156209","","",""
IC1 ,1,"ATMEGA16M1","footprints:TQFP-32_7x7mm_Pitch0.8mm","http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-8209-8-bit%20AVR%20ATmega16M1-32M1-64M1_Datasheet.pdf","DK","ATMEGA16M1-AU-ND","Value","https://www.digikey.com/product-detail/en/atmel/ATMEGA16M1-AU/ATMEGA16M1-AU-ND/2271208","","",""
J2 ,1,"MM_F_RA_20","footprints:micromatch_female_ra_20","http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=338070&DocType=Customer+Drawing&DocLang=English&DocFormat=pdf&PartCntxt=2-338070-0","TE","2-338070-0","","http://www.te.com/usa-en/product-2-338070-0.html","","",""
J3 ,1,"CONN_02X03","footprints:Pin_Header_Straight_2x03","http://portal.fciconnect.com/Comergent//fci/drawing/67996.pdf","DK","609-3234-ND","Value","https://www.digikey.com/product-detail/en/amphenol-fci/67997-206HLF/609-3234-ND/1878491","","",""
