Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Package,MPN,MFN,PurchasingLink
34,"Op-amp, general purpose",MCP6001,U4 U5,MCP6001,SOT-23-5_OEM,2,http://ww1.microchip.com/downloads/en/DeviceDoc/21733j.pdf,,MCP6001T-I/OTCT-ND,DK,https://www.digikey.com/product-detail/en/microchip-technology/MCP6001T-I-OT/MCP6001T-I-OTCT-ND/697158
35,Single schmitt-trigger buffer,SN74LVC1G17,U2,SN74LVC1G17,SOT-23-5,1,http://www.ti.com/lit/ds/symlink/sn74lvc1g17.pdf,,296-11933-1-ND,DK,https://www.digikey.com/product-detail/en/texas-instruments/SN74LVC1G17DBVR/296-11933-1-ND/389050
36,"Buck converter, 4.5-17V input, adj 0.76-7V output, 1A, 580kHz",TPS561201,U101,TPS561201,SOT-23-6_OEM,1,http://www.ti.com/lit/ds/symlink/tps561201.pdf,Value,TPS561201,Digi-Key,https://www.digikey.com/products/en?keywords=296-46928-1-ND
37,CRYSTAL 16.0000MHZ 18PF SMD,Crystal_SMD,Y1,Crystal_SMD,Crystal_SMD_FA238,1,https://support.epson.biz/td/api/doc_check.php?dl=brief_FA-238V_en.pdf,Value,SER3686CT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=SER3686CT-ND





Component Groups:,37
Component Count:,62
Fitted Components:,62
Number of PCBs:,1
Total components:,62
Schematic Version:,
Schematic Date:,
BoM Date:,Sat 20 Apr 2019 05:34:42 PM EDT
Schematic Source:,/home/aehoppe/Documents/Formula/MKIV-Boards/Boards/BMS_core/BMS_core.sch
KiCad Version:,Eeschema 5.0.2-bee76a0~70~ubuntu16.04.1
