Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Package,MPN,MFN,PurchasingLink,Link,Digi-key Part Number,Purchasing Link
32,,Crystal_SMD-formula,Y1 Y2,Crystal_SMD,Crystal_SMD_FA238,2,http://www.txccorp.com/download/products/quartz_crystals/2015TXC_7M_17.pdf,Value,887-1125-1-ND,DK,https://www.digikey.com/product-detail/en/txc-corporation/7M-16.000MAAJ-T/887-1125-1-ND/2119014,,,





Component Groups:,32
Component Count:,63
Fitted Components:,63
Number of PCBs:,1
Total components:,63
Schematic Version:,1
Schematic Date:,2019-10-31
PCB Variant:,default
BoM Date:,Wed 12 Feb 2020 05:01:07 PM EST
Schematic Source:,/home/emilywan188/Documents/Formula/MKV-Boards/Boards/Driver_UX/dashboard_MKV_ewan.sch
KiCad Version:,Eeschema 5.1.4-e60b266~84~ubuntu18.04.1
